player_name,player_id,kata_nr,kata_name,winner,tournament_id,category,source_file
GALLO GIANLUCA,26954,091,Sochin,True,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
PANAGIA GIUSEPPE,83346,099,Unsu,False,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
MARKESINIS LAMPRINOS MARIOS,51230,021,Gojushiho Sho,True,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
MATHES MIKA,98117,041,Kanku Sho,True,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
BAREIKA MAKSIM,88847,068,Papuren,False,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
PAGOT ALEXANDER,13085,083,Seipai,False,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
NUNES RAFAEL,98252,099,Unsu,True,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
BUISSON MATTÉO,95266,021,Gojushiho Sho,False,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
GALLO GIANLUCA,26954,020,Gojushiho Dai,True,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
MARKESINIS LAMPRINOS MARIOS,51230,099,Unsu,False,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
MATHES MIKA,98117,020,Gojushiho Dai,True,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
NUNES RAFAEL,98252,015,Gankaku,False,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
GALLO GIANLUCA,26954,021,Gojushiho Sho,True,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
MATHES MIKA,98117,099,Unsu,False,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
GALLO GIANLUCA,26954,099,Unsu,True,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
GRAZIA MANUEL,76345,063,Ohan,True,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
SOKOLOV HLIB,64997,021,Gojushiho Sho,False,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
ELEKES MÁTÉ,75822,002,Anan Dai,False,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
AGOSTINI LUIS,54852,064,Ohan Dai,True,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
LØYTVED MARK,98067,092,Suparinpei,False,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
MARTIN MONTENEGRO IVAN,41910,063,Ohan,True,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
JAKOVLJEVIC VASILIJE,70852,021,Gojushiho Sho,True,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
RELIĆ MATIJA,73584,047,Kururunfa,False,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
DI RUBBA LUIGI,51689,041,Kanku Sho,True,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
SCHOLES ALEX,76733,020,Gojushiho Dai,False,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
OLIVEIRA MARTIM,40666,002,Anan Dai,True,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
ALJASSER IBRAHIM,98026,021,Gojushiho Sho,False,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
BERGER JONA,49151,068,Papuren,False,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
NOUR MAURIS LORICK,45889,002,Anan Dai,True,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
GRAZIA MANUEL,76345,092,Suparinpei,False,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
AGOSTINI LUIS,54852,092,Suparinpei,True,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
MARTIN MONTENEGRO IVAN,41910,002,Anan Dai,True,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
JAKOVLJEVIC VASILIJE,70852,041,Kanku Sho,False,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
DI RUBBA LUIGI,51689,021,Gojushiho Sho,True,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
OLIVEIRA MARTIM,40666,008,Chatanyara Kushanku,False,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
NOUR MAURIS LORICK,45889,092,Suparinpei,True,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
ZOECHLING FLORIAN,56811,092,Suparinpei,False,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
AGOSTINI LUIS,54852,009,Chibana No Kushanku,False,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
MARTIN MONTENEGRO IVAN,41910,092,Suparinpei,True,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
DI RUBBA LUIGI,51689,020,Gojushiho Dai,True,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
NOUR MAURIS LORICK,45889,008,Chatanyara Kushanku,False,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
MARTIN MONTENEGRO IVAN,41910,064,Ohan Dai,False,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
DI RUBBA LUIGI,51689,099,Unsu,True,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
SERRA CRISTIAN,24465,021,Gojushiho Sho,True,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
ANDREI NEDELCU,53078,002,Anan Dai,False,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
KODAJ SIMON,30662,002,Anan Dai,False,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
KOCAN ARIJAN,7857,021,Gojushiho Sho,True,2026_04_k1_seriesa_coruna,kata_male,2026_04_k1_seriesa_coruna\kata_male.html
